No,レベル,項目名,宣言,桁数
1,1,SYS-1005-REC,GF,0
2,3,SYS-1005-KEY,GF,0
3,5,SYS-1005-HOSPNUM,9(2),2
4,5,SYS-1005-KANRICD,X(04),4
5,5,SYS-1005-KBNCD,X(08),8
6,5,SYS-1005-STYUKYMD,X(08),8
7,5,SYS-1005-EDYUKYMD,X(08),8
8,3,SYS-1005-TBL,GF,0
9,5,SYS-1005-SRYKANAME,X(80),80
10,5,SYS-1005-SRYKANAME1,X(20),20
11,5,SYS-1005-SRYKANAME2,X(12),12
12,5,SYS-1005-SRYKANAME3,X(04),4
13,5,SYS-1005-RECESRYKA,X(02),2
14,3,SYS-1005-YOBI,X(382),382
15,3,SYS-1005-TERMID,X(16),16
16,3,SYS-1005-OPID,X(16),16
17,3,SYS-1005-CREYMD,X(08),8
18,3,SYS-1005-UPYMD,X(08),8
19,3,SYS-1005-UPHMS,X(06),6
20,3,SYS-1005-UPD-KEY,GF,0
21,5,SYS-1005-UPD-HOSPNUM,9(2),2
22,5,SYS-1005-UPD-KANRICD,X(04),4
23,5,SYS-1005-UPD-KBNCD,X(08),8
24,5,SYS-1005-UPD-STYUKYMD,X(08),8
25,5,SYS-1005-UPD-EDYUKYMD,X(08),8
